,UNRATE,PCE,PSAVERT,REVOLSL,CORCACBS
2016-09-30,4.8999999999999995,12797.133333333333,5.1,949069.8,1.88
2016-12-31,4.766666666666667,12921.966666666667,5.233333333333333,960095.49,2.11
2017-03-31,4.566666666666666,13097.333333333334,5.5,973860.13,2.19
2017-06-30,4.366666666666667,13188.766666666668,6.0,984955.36,2.11
2017-09-30,4.333333333333333,13325.066666666666,6.0,997799.58,2.21
2017-12-31,4.166666666666667,13551.4,5.533333333333334,1016806.6,2.23
2018-03-31,4.033333333333333,13745.066666666666,5.8,1028817.4,2.22
2018-06-30,3.9333333333333336,13891.266666666668,6.1000000000000005,1025345.59,2.22
2018-09-30,3.766666666666667,14002.199999999999,6.633333333333333,1043901.27,2.28
2018-12-31,3.8333333333333335,14099.199999999999,7.2,1053847.44,2.25
2019-03-31,3.8666666666666667,14150.199999999999,8.266666666666667,1064354.25,2.24
2019-06-30,3.6333333333333333,14350.666666666666,7.333333333333333,1071552.07,2.25
2019-09-30,3.6,14548.266666666668,6.8999999999999995,1084190.0,2.35
2019-12-31,3.6,14701.066666666666,6.733333333333333,1091988.88,2.3
2020-03-31,3.8333333333333335,14503.066666666666,8.9,1064082.5,2.28
2020-06-30,13.0,13193.300000000001,24.233333333333334,973899.96,2.25
2020-09-30,8.799999999999999,14479.166666666666,15.033333333333333,964464.42,1.96
2020-12-31,6.766666666666667,14749.800000000001,12.200000000000001,954603.43,1.5
2021-03-31,6.233333333333333,15255.4,19.566666666666666,954267.4,1.53
2021-06-30,5.933333333333334,16027.566666666666,10.4,986122.27,1.22
2021-09-30,5.066666666666666,16380.733333333332,8.6,1005332.86,0.97
2021-12-31,4.2,16815.0,6.733333333333333,1033546.93,0.91
2022-03-31,3.8333333333333335,17149.0,3.8333333333333335,1079329.43,0.99
2022-06-30,3.6333333333333333,17606.566666666666,2.466666666666667,1120580.97,1.08
2022-09-30,3.533333333333333,17893.13333333333,3.3000000000000003,1154880.25,1.32
2022-12-31,3.5666666666666664,18111.366666666665,3.8000000000000003,1192639.7,1.63
2023-03-31,3.533333333333333,18487.033333333333,5.466666666666666,1222516.8,1.76
2023-06-30,3.533333333333333,18693.13333333333,5.8999999999999995,1247752.93,2.07
2023-09-30,3.6666666666666665,18961.866666666665,5.466666666666666,1276945.1,2.39
2023-12-31,3.8000000000000003,19190.600000000002,5.533333333333334,1298865.88,2.64
2024-03-31,3.8333333333333335,19443.866666666665,6.133333333333333,1322156.83,2.79
2024-06-30,4.0,19756.066666666666,5.766666666666667,1330645.56,2.91
2024-09-30,4.166666666666667,20032.8,5.1000000000000005,1341182.02,3.01
2024-12-31,4.133333333333333,20351.3,4.733333333333333,1296965.61,2.97
2025-03-31,4.1000000000000005,20555.0,5.133333333333333,1294474.41,2.98
2025-06-30,4.166666666666667,20789.933333333334,5.3,1300321.06,2.87
2025-09-30,4.25,21047.300000000003,4.699999999999999,1305533.9,2.87
